Base State,Target State,Epochs,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75
Train Bihar,Test Bihar,36,0.122112,0.012443,0.652780,0.580084,0.117900,0.262445,0.067045,0.319133,0.687715,0.205714
Train Haryana,Test Bihar,50,0.000000,0.005769,0.501982,0.444844,0.064132,0.169250,0.024013,0.192808,0.523670,0.066662
Train Haryana,Test Bihar,45,0.000000,0.004587,0.504156,0.446643,0.064393,0.169581,0.024352,0.193738,0.525877,0.068501
Train m0,Test m0,50,0.217822,0.352871,0.531764,0.469825,0.132053,0.367486,0.059517,0.220652,0.584755,0.125943
Train m0,Test m0,45,0.217822,0.362848,0.545078,0.481592,0.135026,0.375249,0.062725,0.225493,0.599254,0.133003
Train SwinIR Bihar,Test SwinIR Bihar,50,0.224422,0.070215,0.719853,0.646481,0.189586,0.338163,0.167029,0.429871,0.753187,0.446126
Train SwinIR Haryana,Test SwinIR Bihar,50,0.000000,0.005867,0.424249,0.376064,0.061760,0.143372,0.037850,0.209132,0.490104,0.130754
Train SwinIR Haryana,Test SwinIR Bihar,45,0.000000,0.006906,0.439278,0.389475,0.062308,0.148728,0.037219,0.208465,0.503000,0.124848
Train SwinIR Haryana,Test SwinIR Bihar,40,0.000000,0.006895,0.422512,0.374636,0.061925,0.143136,0.039602,0.210904,0.493800,0.133504
